t,Position q,Velocity,Potential V
0.0,0.0,1.0,0.0
0.01001001001001001,0.009999827993746694,0.9979494674269265,4.9998279952260014e-05
0.02002002002002002,0.019978645353421674,0.9958021430121826,0.0001995731350788987
0.03003003003003003,0.02993548523970123,0.9935584374343465,0.00044806663826818505
0.04004004004004004,0.03986938496886693,0.9912187702947959,0.0007947839288978562
0.050050050050050046,0.049779386101821956,0.9887835700574403,0.0012389936403371324
0.06006006006006006,0.05966453453250026,0.9862532739876785,0.001779928340489958
0.07007007007007007,0.06952388057566082,0.9836283280905879,0.002416784985149374
0.08008008008008008,0.07935647905405932,0.9809091870483535,0.0031487253839286777
0.09009009009009009,0.08916138938498998,0.9780963141569466,0.003974876678530902
0.10010010010010009,0.09893767566618934,0.9751901812620558,0.004894331833114037
0.11011011011011011,0.10868440676109545,0.9721912686942857,0.005906150136505625
0.12012012012012012,0.11840065638345455,0.969100065203625,0.007009357716016439
0.13013013013013014,0.12808550318126818,0.9659170678931942,0.008202948062599332
0.14014014014014015,0.13773803082007363,0.9626427821522832,0.009485882567095778
0.15015015015015015,0.14735732806555027,0.9592777215886837,0.010857091067309104
0.16016016016016016,0.15694248886544557,0.955822407960326,0.012315472405640253
0.17017017017017017,0.16649261243081273,0.952277371106229,0.013859894997018408
0.18018018018018017,0.17600680331655436,0.9486431488767718,0.015489197406856125
0.19019019019019018,0.18548417150126412,0.9449202870632932,0.01720218893875518
0.20020020020020018,0.1949238324663609,0.941109339327031,0.01899765023168697
0.21021021021021022,0.20432490727450836,0.9372108671274062,0.02087433386636822
0.22022022022022023,0.21368652264731267,0.9332254396496638,0.022830964980550233
0.23023023023023023,0.22300781104229378,0.9291536337318756,0.024866241892937704
0.24024024024024024,0.23228791072912217,0.924996033791317,0.026978836735450314
0.2502502502502503,0.2415259658651156,0.9207532317502227,0.02916739609353849
0.2602602602602603,0.2507211265699897,0.9164258269609349,0.031430541654262394
0.2702702702702703,0.2598725489998563,0.9120144261304463,0.03376687086184135
0.2802802802802803,0.2689793954204635,0.9075196432443549,0.03617495758037903
0.2902902902902903,0.2780408342796714,0.9029420994902307,0.03865335276346785
0.3003003003003003,0.2870560402791581,0.8982824231804118,0.04120058513037482
0.3103103103103103,0.2960241944453499,0.8935412496742297,0.04381516184850916
0.3203203203203203,0.30494448419956977,0.8887192212996826,0.04649556922187083
0.3303303303303303,0.31381610342740024,0.883816987274557,0.04924027338517838
0.34034034034034033,0.32263825254725265,0.8788352036270135,0.05204772100337239
0.35035035035035034,0.3314101385781396,0.8737745331156405,0.05491633997619085
0.36036036036036034,0.340130975206644,0.8686356451489878,0.05784454014751133
0.37037037037037035,0.34879998285308095,0.8634192157045912,0.06083071401915478
0.38038038038038036,0.3574163887368453,0.858125927247491,0.06387323746884385
0.39039039039039036,0.3659794269409423,0.8527564686482615,0.06697047047201027
0.40040040040040037,0.3744883384756944,0.8473115351005529,0.07012075782714312
0.41041041041041043,0.382942371341621,0.8417918280381631,0.07332242988437199
0.42042042042042044,0.39134078059148497,0.8361980550516408,0.0765738032769764
0.43043043043043044,0.3996828283915027,0.8305309298044348,0.0798731816555157
0.44044044044044045,0.4079677840817124,0.8247911719485967,0.08321885642427136
0.45045045045045046,0.4161949242354964,0.8189795070400473,0.0866091074796953
0.46046046046046046,0.4243635327182526,0.8130966664534144,0.09004220395055773
0.47047047047047047,0.4324729007452125,0.8071433872964529,0.0935164049394892
0.4804804804804805,0.44052232693839916,0.8011204123240576,0.09702996026561092
0.4904904904904905,0.44851111738272365,0.7950284898518761,0.10058111120794966
0.5005005005005005,0.4564385856812138,0.7888683736695319,0.10416809124933338
0.5105105105105106,0.4643040530093731,0.7826408229534685,0.10778912682046538
0.5205205205205206,0.472106848168665,0.7763466021794232,0.11144243804387545
0.5305305305305306,0.47984630763911923,0.7699864810345394,0.11512623947744813
0.5405405405405406,0.48752177563105703,0.7635612343291277,0.11883874085722936
0.5505505505505506,0.4951326041359303,0.7570716419080878,0.12257814783921393
0.5605605605605606,0.5026781529762742,0.7505184885619953,0.12634266273981926
0.5705705705705706,0.5101577898547659,0.7439025639378682,0.13013048527474974
0.5805805805805806,0.5175708904023909,0.7372246624496209,0.13393981329596186
0.5905905905905906,0.5249168382257092,0.7304855831882145,0.1377688435264377
0.6006006006006006,0.5321950249532221,0.7236861298315153,0.14161577229248037
0.6106106106106106,0.5394048502808352,0.7168271105538677,0.1454787962532451
0.6206206206206206,0.5465457220164138,0.7099093379353957,0.14935611312722155
0.6306306306306306,0.55361705612343,0.702933628871039,0.15324592241538654
0.6406406406406406,0.5606182767636982,0.695900804479335,0.15714642612074928
0.6506506506506506,0.5675488163391946,0.6888116900109564,0.16105582946401042
0.6606606606606606,0.5744081155329627,0.6816671147570141,0.1649723415950647
0.6706706706706707,0.5811956233490966,0.6744679119571347,0.16889417630007247
0.6806806806806807,0.5879107971518063,0.6672149187073222,0.17281955270383614
0.6906906906906907,0.5945531027035567,0.6599089758676158,0.17674669596721299
0.7007007007007007,0.6011220142022835,0.6525509279695497,0.18067383797930517
0.7107107107107107,0.6076170143176808,0.6451416231234287,0.18459921804416635
0.7207207207207207,0.6140375942265597,0.6376819129254253,0.18852108356177058
0.7307307307307307,0.620383253647276,0.6301726523645127,0.1924376907029902
0.7407407407407407,0.6266535008732258,0.6226146997292386,0.196347305078335
0.7507507507507507,0.6328478528054077,0.6150089165143537,0.20024820240020746
0.7607607607607607,0.6389658349840478,0.6073561673273018,0.2041386691384307
0.7707707707707707,0.6450069816192903,0.5996573197945816,0.20801700316881372
